tahun,kode_provinsi,nama_provinsi,produksi
2013,2100,Prov. Kepulauan Riau,1370
2013,3100,Prov. DKI Jakarta,10268
2013,3200,Prov. Jawa Barat,12083162
2013,3300,Prov. Jawa Tengah,10344816
2013,3400,Prov. D I Yogyakarta,921824
2013,3500,Prov. Jawa Timur,12049342
2013,3600,Prov. Banten,2083608
2013,5100,Prov. Bali,882115
2013,5200,Prov. Nusa Tenggara Barat,2193698
2013,5300,Prov. Nusa Tenggara Timur,729666
2013,6100,Prov. Kalimantan Barat,1440902
2013,6200,Prov. Kalimantan Tengah,811211
2013,6300,Prov. Kalimantan Selatan,2031029
2013,6400,Prov. Kalimantan Timur,563850
2013,7100,Prov. Sulawesi Utara,638373
2013,7200,Prov. Sulawesi Tengah,1031324
2013,7300,Prov. Sulawesi Selatan,5035830
2013,7400,Prov. Sulawesi Tenggara,561361
2013,7500,Prov. Gorontalo,295913
2013,7600,Prov. Sulawesi Barat,444203
2013,8100,Prov. Maluku,101835
2013,8200,Prov. Maluku Utara,72445
2013,9100,Prov. Papua Barat,29572
2013,9400,Prov. Papua,169790
